id,data,r,g,b,
251,0,207,213,214,
251,1,224,97,1,
251,2,169,48,159,
251,3,39,137,199,
251,4,241,175,21,
251,5,94,169,24,
251,6,214,101,143,
251,7,55,58,62,
251,8,125,125,115,
251,9,21,119,136,
251,10,100,32,156,
251,11,45,47,143,
251,12,96,60,32,
251,13,73,91,36,
251,14,142,33,33,
251,15,8,10,15,
159,0,210,178,161,
159,1,162,84,38,
159,2,150,88,109,
159,3,113,109,138,
159,4,186,133,35,
159,5,104,118,53,
159,6,162,78,79,
159,7,58,42,36,
159,8,135,107,98,
159,9,87,91,91,
159,10,118,70,86,
159,11,74,60,91,
159,12,77,51,36,
159,13,76,83,42,
159,14,143,61,47,
159,15,37,23,16,
